loop,x,y
0,-20.5593,6.7882
0,-20.5593,6.5882
0,-20.6593,6.4882
0,-20.7593,6.3882
0,-20.7593,6.1882
0,-20.8593,6.0882
0,-20.9593,5.9882
0,-20.9593,5.7882
0,-21.0593,5.6882
0,-21.1593,5.5882
0,-21.1593,5.3882
0,-21.1593,5.1882
0,-21.2593,5.0882
0,-21.3593,4.9882
0,-21.3593,4.7882
0,-21.3593,4.5882
0,-21.4593,4.4882
0,-21.5593,4.3882
0,-21.5593,4.1882
0,-21.5593,3.9882
0,-21.5593,3.7882
0,-21.6593,3.6882
0,-21.7593,3.5882
0,-21.7593,3.3882
0,-21.7593,3.1882
0,-21.7593,2.9882
0,-21.7593,2.7882
0,-21.7593,2.5882
0,-21.7593,2.3882
0,-21.7593,2.1882
0,-21.7593,1.9882
0,-21.7593,1.7882
0,-21.7593,1.5882
0,-21.7593,1.3882
0,-21.7593,1.1882
0,-21.6593,1.0882
0,-21.5593,0.9882
0,-21.5593,0.7882
0,-21.5593,0.5882
0,-21.5593,0.3882
0,-21.5593,0.1882
0,-21.4593,0.0882
0,-21.3593,-0.0118
0,-21.3593,-0.2118
0,-21.3593,-0.4118
0,-21.3593,-0.6118
0,-21.2593,-0.7118
0,-21.1593,-0.8118
0,-21.1593,-1.0118
0,-21.1593,-1.2118
0,-21.0593,-1.3118
0,-20.9593,-1.4118
0,-20.9593,-1.6118
0,-20.9593,-1.8118
0,-20.8593,-1.9118
0,-20.7593,-2.0118
0,-20.7593,-2.2118
0,-20.6593,-2.3118
0,-20.5593,-2.4118
0,-20.5593,-2.6118
0,-20.5593,-2.8118
0,-20.4593,-2.9118
0,-20.3593,-3.0118
0,-20.3593,-3.2118
0,-20.2593,-3.3118
0,-20.1593,-3.4118
0,-20.0593,-3.5118
0,-19.9593,-3.6118
0,-19.9593,-3.8118
0,-19.8593,-3.9118
0,-19.7593,-4.0118
0,-19.6593,-4.1118
0,-19.5593,-4.2118
0,-19.5593,-4.4118
0,-19.4593,-4.5118
0,-19.3593,-4.6118
0,-19.2593,-4.7118
0,-19.1593,-4.8118
0,-19.0593,-4.9118
0,-18.9593,-5.0118
