step,control_arm_a,control_arm_b,turn_control_arm_a,turn_control_arm_b,node_end_x,node_end_y,leg
224,134.427004,45.572996,-0.493158,-0.489032,-14.000000,-0.000000,4
225,133.937972,45.079838,-0.489032,-0.493158,-14.000000,0.120000,4
226,133.453139,44.582627,-0.484833,-0.497212,-14.000000,0.240000,4
227,132.972576,44.081433,-0.480563,-0.501193,-14.000000,0.360000,4
228,132.496355,43.576330,-0.476221,-0.505103,-14.000000,0.480000,4
229,132.024548,43.067389,-0.471807,-0.508941,-14.000000,0.600000,4
230,131.557226,42.554681,-0.467322,-0.512707,-14.000000,0.720000,4
231,131.094460,42.038279,-0.462766,-0.516402,-14.000000,0.840000,4
232,130.636321,41.518253,-0.458139,-0.520026,-14.000000,0.960000,4
233,130.182880,40.994673,-0.453442,-0.523580,-14.000000,1.080000,4
234,129.734205,40.467611,-0.448675,-0.527063,-14.000000,1.200000,4
235,129.290365,39.937134,-0.443839,-0.530477,-14.000000,1.320000,4
236,128.851431,39.403312,-0.438935,-0.533822,-14.000000,1.440000,4
237,128.417469,38.866214,-0.433962,-0.537098,-14.000000,1.560000,4
238,127.988547,38.325906,-0.428922,-0.540308,-14.000000,1.680000,4
239,127.564731,37.782456,-0.423816,-0.543451,-14.000000,1.800000,4
240,127.146088,37.235927,-0.418643,-0.546528,-14.000000,1.920000,4
241,126.732682,36.686387,-0.413406,-0.549541,-14.000000,2.040000,4
242,126.324577,36.133896,-0.408104,-0.552490,-14.000000,2.160000,4
243,125.921838,35.578519,-0.402739,-0.555377,-14.000000,2.280000,4
244,125.524526,35.020317,-0.397312,-0.558203,-14.000000,2.400000,4
245,125.132704,34.459349,-0.391822,-0.560968,-14.000000,2.520000,4
246,124.746432,33.895673,-0.386272,-0.563675,-14.000000,2.640000,4
247,124.365771,33.329348,-0.380661,-0.566325,-14.000000,2.760000,4
248,123.990779,32.760430,-0.374992,-0.568919,-14.000000,2.880000,4
249,123.621515,32.188971,-0.369264,-0.571458,-14.000000,3.000000,4
